date,open,high,low,close,volume,Dividends,Stock Splits
12/31/1985,1412.5999755859375,1412.5999755859375,1412.5999755859375,1412.5999755859375,0,0.0,0.0
1/2/1986,1417.300048828125,1417.300048828125,1417.300048828125,1417.300048828125,0,0.0,0.0
1/3/1986,1424.5999755859375,1424.5999755859375,1424.5999755859375,1424.5999755859375,0,0.0,0.0
1/6/1986,1431.0,1431.0,1431.0,1431.0,0,0.0,0.0
1/7/1986,1421.199951171875,1421.199951171875,1421.199951171875,1421.199951171875,0,0.0,0.0
1/8/1986,1408.800048828125,1408.800048828125,1408.800048828125,1408.800048828125,0,0.0,0.0
1/9/1986,1389.199951171875,1389.199951171875,1389.199951171875,1389.199951171875,0,0.0,0.0
1/10/1986,1395.699951171875,1395.699951171875,1395.699951171875,1395.699951171875,0,0.0,0.0
1/13/1986,1397.300048828125,1397.300048828125,1397.300048828125,1397.300048828125,0,0.0,0.0
1/14/1986,1381.0,1381.0,1381.0,1381.0,0,0.0,0.0
1/15/1986,1384.5,1384.5,1384.5,1384.5,0,0.0,0.0
1/16/1986,1391.699951171875,1391.699951171875,1391.699951171875,1391.699951171875,0,0.0,0.0
1/17/1986,1395.699951171875,1395.699951171875,1395.699951171875,1395.699951171875,0,0.0,0.0
1/20/1986,1391.0999755859375,1391.0999755859375,1391.0999755859375,1391.0999755859375,0,0.0,0.0
1/21/1986,1379.4000244140625,1379.4000244140625,1379.4000244140625,1379.4000244140625,0,0.0,0.0
1/22/1986,1385.5999755859375,1385.5999755859375,1385.5999755859375,1385.5999755859375,0,0.0,0.0
1/23/1986,1380.300048828125,1380.300048828125,1380.300048828125,1380.300048828125,0,0.0,0.0
1/24/1986,1389.199951171875,1389.199951171875,1389.199951171875,1389.199951171875,0,0.0,0.0
1/27/1986,1400.5999755859375,1400.5999755859375,1400.5999755859375,1400.5999755859375,0,0.0,0.0
1/28/1986,1420.5,1420.5,1420.5,1420.5,0,0.0,0.0
1/29/1986,1425.0,1425.0,1425.0,1425.0,0,0.0,0.0
1/30/1986,1437.5,1437.5,1437.5,1437.5,0,0.0,0.0
1/31/1986,1449.5,1449.5,1449.5,1449.5,0,0.0,0.0
2/3/1986,1444.699951171875,1444.699951171875,1444.699951171875,1444.699951171875,0,0.0,0.0
2/4/1986,1444.199951171875,1444.199951171875,1444.199951171875,1444.199951171875,0,0.0,0.0
2/5/1986,1448.800048828125,1448.800048828125,1448.800048828125,1448.800048828125,0,0.0,0.0
2/6/1986,1454.0999755859375,1454.0999755859375,1454.0999755859375,1454.0999755859375,0,0.0,0.0
2/7/1986,1464.9000244140625,1464.9000244140625,1464.9000244140625,1464.9000244140625,0,0.0,0.0
2/10/1986,1480.5999755859375,1480.5999755859375,1480.5999755859375,1480.5999755859375,0,0.0,0.0
2/11/1986,1483.9000244140625,1483.9000244140625,1483.9000244140625,1483.9000244140625,0,0.0,0.0
2/12/1986,1494.699951171875,1494.699951171875,1494.699951171875,1494.699951171875,0,0.0,0.0
2/13/1986,1503.699951171875,1503.699951171875,1503.699951171875,1503.699951171875,0,0.0,0.0
2/14/1986,1507.0,1507.0,1507.0,1507.0,0,0.0,0.0
2/17/1986,1505.699951171875,1505.699951171875,1505.699951171875,1505.699951171875,0,0.0,0.0
2/18/1986,1517.5999755859375,1517.5999755859375,1517.5999755859375,1517.5999755859375,0,0.0,0.0
2/19/1986,1524.5,1524.5,1524.5,1524.5,0,0.0,0.0
2/20/1986,1527.9000244140625,1527.9000244140625,1527.9000244140625,1527.9000244140625,0,0.0,0.0
2/21/1986,1539.699951171875,1539.699951171875,1539.699951171875,1539.699951171875,0,0.0,0.0
2/24/1986,1563.199951171875,1563.199951171875,1563.199951171875,1563.199951171875,0,0.0,0.0
2/25/1986,1568.4000244140625,1568.4000244140625,1568.4000244140625,1568.4000244140625,0,0.0,0.0
2/26/1986,1568.300048828125,1568.300048828125,1568.300048828125,1568.300048828125,0,0.0,0.0
2/27/1986,1576.699951171875,1576.699951171875,1576.699951171875,1576.699951171875,0,0.0,0.0
